a cuci,-1
a dawa,-1
đađi,1
đauki,1
aameen,1
aamen,1
abanxa,-1
abanza,-1
abarshi,-1
abin kunya,-1
abinciki,-1
abinyi,1
aci,1
aci gaba,1
aci uwarsu,-1
acigaba,1
adace,1
adalchi,1
adalci,1
adali,1
adalin,1
adawa,-1
addabaimu,-1
addabar,-1
addabi,-1
addini,1
addua,1
adduoin,1
aduaa,1
ƙadangare,-1
ƙaiƙayin,-1
ƙarawa,1
ƙarbi,1
ƙarhinmu,1
ƙarya,-1
ƙaryar,-1
ƙoƙari,1
ƙuntatawa,-1
ƙwaci,-1
afuwa,1
agaisa,1
agaishe,1
agaji,1
agaskiya,1
agaza,1
ahana,-1
aika aikan,-1
aikaaikar,-1
aikin banza,-1
ajalin,-1
ajalinmu,-1
ajalinsa,-1
ajalinsu,-1
akafi,1
akashe,-1
akashesu,-1
akaso,1
akeson,1
akoshi,1
al barka,1
al farman,1
al farmar,1
al jannah,1
alawadaran,-1
albakarci,1
albarka,1
albarkaci,1
albarkacin,1
albarkah,1
albarkan,1
albarkanci,1
albarkanshi,1
albarkar,1
albarkashi,1
albishir,1
alfahari,1
alfaharin,1
alfaharina,1
alfahrin,1
alfarman,1
alfarmar,1
alhéri,1
alhairi,1
alhamdulillah,1
alhamdulillahi,1
alhamdullah,1
alhamdullilah,1
alhamdullilahi,1
alhmdlh,1
alhmdlhh,1
alhmdllh,1
alhmdullh,1
aljan,-1
aljani,-1
aljannah,1
aljannan,1
aljannar,1
aljannatul fiddausi,1
aljannatul firdaus,1
alkaeri,1
alkahiri,1
alkairi,1
alkairii,1
alkairin,1
alkawari,1
alkawarin,1
alkayri,1
alkhairee,1
alkhairi,1
alkhairy,1
alkhari,1
alkharin,1
alkhr,1
allah ya isama,-1
allah ya isan,-1
allah ya isar,-1
allahu akhbar,1
almajira,-1
almubazzaranci,-1
almutsutsai,-1
alqawari,1
alqawarin,1
alwadaran,-1
amai,-1
amana,1
amanar,1
amanarmu,1
amarya,1
ameeeen,1
ameen️️,1
amfana,1
amfanan,1
amfanar,1
amfaneta,1
amfaninta,1
amiin,1
amiin️️️,1
aminan,1
amincewarka,1
aminci,1
amincin,1
anasan,1
anaso,1
anbada,1
anbashi,1
anbawa,1
anbude,1
anci,1
anci amanar,-1
ancire,-1
andainashi,1
anfada,-1
anfana,1
anfane,1
anfani,1
anfanin,1
anfika,1
angaishe,1
angirmi,1
ango,1
anjii,1
ankashe,-1
annoba,-1
annoban,-1
annobar,-1
annubar,-1
anobar,-1
anrufe,-1
ansace,-1
anshaa,1
anshiga uku,-1
antashi,1
antaya,1
anyaudaremu,-1
anyiwa,1
anzama,1
araina,-1
armashi,1
arna,-1
arone,-1
arxiki,1
arziki,1
arzikin,1
arzikinsa,1
arzikinsu,1
arziqi,1
arzuki,1
asa,1
asaa,1
asacemu,-1
asarar,-1
asararre,-1
ashar,-1
ashariya,-1
ashuka,1
ataimaka,1
auranta,1
aure,1
aure️‍️‍,1
auren,1
aurena,1
aurenki,1
aurenkie,1
aurenta,1
aureta,1
auri,1
auro,1
awanye,1
ayabamata,1
ayyuka,1
azaba,-1
azallumai,-1
